City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bethel,300.37,73.0,1.0,0.97,US,1598108244
jamestown,298.15,77.0,1.0,2.07,US,1598108118
lishui,297.51,80.0,0.0,0.81,CN,1598108244
quelimane,298.15,61.0,40.0,2.6,MZ,1598108244
ust-kut,288.69,63.0,100.0,1.66,RU,1598108245
ilulissat,279.15,70.0,20.0,2.1,GL,1598108245
conway,299.26,74.0,1.0,2.1,US,1598107980
taoudenni,321.29,6.0,9.0,7.68,ML,1598108245
vao,295.45,88.0,1.0,5.1,NC,1598108245
siilinjarvi,291.15,72.0,75.0,8.7,FI,1598108245
bluff,278.71,97.0,41.0,0.89,NZ,1598108245
torbay,290.37,77.0,75.0,5.7,CA,1598108245
coihaique,283.15,66.0,90.0,1.5,CL,1598108246
atuona,299.16,75.0,6.0,9.03,PF,1598108246
